Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
5;20;=AVERAGE($B$341:$B$342);4.000;Awful;NoScaling
6;20;=AVERAGE($B$342:$B$343);4.000;Awful;NoScaling
7;40;=AVERAGE($B$343:$B$344);4.000;Awful;NoScaling
8;30;=AVERAGE($B$344:$B$345);4.000;Awful;NoScaling
9;40;=AVERAGE($B$345:$B$346);4.000;Awful;NoScaling
10;50;=AVERAGE($B$346:$B$347);4.000;Awful;NoScaling
11;30;=AVERAGE($B$347:$B$348);4.000;Awful;NoScaling
12;10;=AVERAGE($B$348:$B$349);4.000;Awful;NoScaling
13;30;=AVERAGE($B$349:$B$350);4.000;Awful;NoScaling
14;20;=AVERAGE($B$350:$B$351);4.000;Awful;NoScaling
15;20;=AVERAGE($B$351:$B$352);4.000;Awful;NoScaling
16;10;=AVERAGE($B$352:$B$353);4.000;Awful;NoScaling
17;40;=AVERAGE($B$353:$B$354);4.000;Awful;NoScaling
18;20;=AVERAGE($B$354:$B$355);4.000;Awful;NoScaling
19;30;=AVERAGE($B$355:$B$356);4.000;Awful;NoScaling
20;10;=AVERAGE($B$356:$B$357);4.000;Awful;NoScaling
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;10;10;4.000;Awful;NoScaling
2;10;=AVERAGE($B$359:$B$360);4.000;Awful;NoScaling
3;30;=AVERAGE($B$360:$B$361);4.000;Awful;NoScaling
4;20;=AVERAGE($B$361:$B$362);4.000;Awful;NoScaling
5;20;=AVERAGE($B$362:$B$363);4.000;Awful;NoScaling
6;40;=AVERAGE($B$363:$B$364);4.000;Awful;NoScaling
7;20;=AVERAGE($B$364:$B$365);4.000;Awful;NoScaling
8;20;=AVERAGE($B$365:$B$366);4.000;Awful;NoScaling
9;20;=AVERAGE($B$366:$B$367);4.000;Awful;NoScaling
10;20;=AVERAGE($B$367:$B$368);4.000;Awful;NoScaling
11;20;=AVERAGE($B$368:$B$369);4.000;Awful;NoScaling
12;50;=AVERAGE($B$369:$B$370);4.000;Awful;NoScaling
13;20;=AVERAGE($B$370:$B$371);4.000;Awful;NoScaling
14;10;=AVERAGE($B$371:$B$372);4.000;Awful;NoScaling
15;10;=AVERAGE($B$372:$B$373);4.000;Awful;NoScaling
16;0;=AVERAGE($B$373:$B$374);4.000;Awful;NoScaling
17;10;=AVERAGE($B$374:$B$375);4.000;Awful;NoScaling
18;10;=AVERAGE($B$375:$B$376);4.000;Awful;NoScaling
19;30;=AVERAGE($B$376:$B$377);4.000;Awful;NoScaling
20;20;=AVERAGE($B$377:$B$378);4.000;Awful;NoScaling
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;30;30;4.000;Awful;NoScaling
